Date,Open,High,Low,Close,Adj Close,Volume
2020-07-10,64.470001,64.559998,63.189999,63.849998,63.017700,10700000
2020-07-13,65.199997,67.080002,64.980003,65.070000,64.221802,16667700
2020-07-14,66.000000,67.029999,65.330002,66.959999,66.087166,10482700
2020-07-15,67.180000,67.209999,65.160004,66.059998,65.198891,12432500
2020-07-16,65.379997,66.629997,64.320000,66.589996,65.721985,15709400
2020-07-17,67.309998,68.000000,66.370003,66.400002,65.534470,11716600
2020-07-20,66.699997,66.980003,65.800003,66.889999,66.018074,6357300
2020-07-21,68.839996,69.250000,67.709999,67.809998,66.926079,10621300
2020-07-22,68.099998,68.900002,68.029999,68.529999,67.636696,7366100
2020-07-23,68.260002,68.500000,66.750000,67.370003,66.491821,8559500
2020-07-24,71.400002,76.889999,71.349998,73.900002,72.936699,41226800
2020-07-27,81.360001,83.400002,80.430000,83.250000,82.164818,39899200
2020-07-28,79.349998,79.580002,76.489998,76.919998,75.917336,31500100
2020-07-29,77.110001,83.370003,77.059998,82.669998,81.592377,28304000
2020-07-30,80.010002,81.279999,78.610001,79.930000,78.888100,16820300
2020-07-31,79.629997,79.769997,77.510002,78.889999,77.861649,12027100
2020-08-03,77.769997,79.150002,77.410004,78.949997,77.920868,10129800
2020-08-04,79.330002,80.190002,78.739998,80.190002,79.144707,12569400
2020-08-05,80.980003,84.000000,80.570000,81.629997,80.565933,14447200
2020-08-06,82.040001,82.099998,80.220001,80.519997,79.470406,9838700
2020-08-07,80.489998,80.790001,79.410004,80.029999,78.986786,8705800
2020-08-10,80.550003,80.849998,79.220001,79.870003,78.828888,7421400
2020-08-11,79.089996,79.199997,77.940002,77.940002,76.924034,7056300
2020-08-12,78.160004,79.550003,77.730003,79.389999,78.355141,8359100
2020-08-13,79.000000,79.099998,77.830002,78.300003,77.279343,6551800
2020-08-14,78.419998,79.230003,78.050003,78.410004,77.387909,5611200
2020-08-17,79.800003,80.889999,79.660004,80.190002,79.144707,8663900
2020-08-18,80.220001,80.820000,79.250000,79.410004,78.374886,6804800
2020-08-19,79.010002,79.230003,78.250000,78.540001,77.516212,7976800
2020-08-20,76.320000,77.099998,75.980003,76.809998,75.808769,11457100
2020-08-21,78.019997,78.730003,77.860001,78.339996,77.318825,7942300
2020-08-24,79.730003,79.910004,78.489998,78.900002,77.871529,6405600
2020-08-25,79.849998,80.480003,79.470001,80.040001,78.996666,6113100
2020-08-26,81.250000,82.169998,81.010002,81.750000,80.684372,7821600
2020-08-27,82.180000,82.309998,80.169998,80.599998,79.549355,8018200
2020-08-28,80.059998,80.879997,79.910004,80.440002,79.391449,5699500
2020-08-31,79.000000,79.760002,78.690002,79.250000,78.216957,9812900
2020-09-01,80.120003,81.599998,79.989998,81.550003,80.486984,10208200
2020-09-02,81.349998,82.709999,79.879997,82.169998,81.098892,12567800
2020-09-03,81.120003,81.809998,78.379997,81.180000,80.121811,20090100
2020-09-04,80.500000,81.470001,77.410004,78.910004,77.881401,13638700
2020-09-08,78.019997,79.150002,77.220001,77.320000,76.312119,11553500
2020-09-09,78.620003,79.699997,78.550003,79.400002,78.365005,7867500
2020-09-10,80.739998,81.230003,78.760002,78.900002,77.871529,11241800
2020-09-11,80.010002,80.300003,78.599998,78.820000,77.792572,7853500
2020-09-14,80.500000,81.120003,79.949997,80.500000,79.450668,7091100
2020-09-15,81.559998,86.790001,81.379997,85.849998,84.730934,21048400
2020-09-16,86.489998,86.489998,83.040001,83.129997,82.046379,14492600
2020-09-17,81.000000,82.290001,80.610001,81.910004,81.259682,10090200
2020-09-18,82.370003,82.839996,80.110001,80.230003,79.593025,10528300
2020-09-21,79.800003,80.650002,79.080002,80.589996,79.950157,8417100
2020-09-22,80.830002,80.889999,79.400002,80.480003,79.841042,6375200
2020-09-23,79.699997,79.930000,77.889999,77.919998,77.301353,9094700
2020-09-24,76.820000,79.000000,76.169998,78.379997,77.757706,9940900
2020-09-25,78.169998,78.919998,77.389999,78.879997,78.253738,6057500
2020-09-28,80.309998,80.370003,79.470001,79.769997,79.136665,5999300
2020-09-29,79.699997,81.239998,79.309998,80.510002,79.870796,6114600
2020-09-30,80.589996,81.940002,80.570000,81.070000,80.426353,5878900
2020-10-01,82.059998,82.720001,81.739998,82.620003,81.964050,6253800
2020-10-02,80.709999,82.199997,80.610001,80.800003,80.158493,6145900
2020-10-05,81.550003,84.629997,81.550003,84.540001,83.868797,10129100
2020-10-06,83.769997,84.449997,82.769997,83.120003,82.460075,7795600
2020-10-07,84.779999,87.000000,84.779999,86.919998,86.229904,11446400
2020-10-08,88.860001,88.860001,86.519997,87.800003,87.102921,10920800
2020-10-09,88.339996,88.800003,87.639999,88.779999,88.075134,7608800
2020-10-12,89.120003,91.269997,88.680000,90.910004,90.188232,10022000
2020-10-13,90.500000,90.650002,89.430000,89.639999,88.928307,8247000
2020-10-14,89.650002,89.879997,88.269997,88.599998,87.896568,8196000
2020-10-15,87.290001,89.489998,87.190002,88.150002,87.450142,10327900
2020-10-16,88.550003,88.589996,86.440002,86.699997,86.011650,7457200
2020-10-19,88.339996,89.620003,87.290001,87.559998,86.864815,7994500
2020-10-20,87.790001,88.980003,87.769997,88.260002,87.559265,7357600
2020-10-21,88.000000,88.870003,87.570000,87.639999,86.944191,7387600
2020-10-22,88.440002,88.940002,87.879997,88.209999,87.509666,5656200
2020-10-23,88.250000,88.449997,87.430000,88.309998,87.608864,4165400
2020-10-26,87.209999,87.779999,85.769997,86.730003,86.041420,5568000
2020-10-27,86.959999,87.220001,85.980003,86.709999,86.021576,5315800
2020-10-28,85.150002,85.410004,83.839996,83.849998,83.184280,8727300
2020-10-29,84.269997,85.330002,84.019997,84.889999,84.216019,5845600
2020-10-30,84.430000,84.750000,83.160004,83.870003,83.204124,4963600
2020-11-02,84.599998,85.959999,84.529999,85.709999,85.029510,6597100
2020-11-03,86.190002,88.239998,86.059998,87.690002,86.993797,6274700
2020-11-04,88.720001,89.769997,88.459999,89.449997,88.739822,7620800
2020-11-05,90.419998,90.959999,89.769997,90.430000,89.712036,6670100
2020-11-06,89.809998,91.500000,89.050003,91.410004,90.684258,6403000
2020-11-09,92.199997,92.480003,88.940002,89.029999,88.323151,8978000
2020-11-10,88.400002,88.800003,86.699997,87.660004,86.964035,8350100
2020-11-11,89.500000,91.180000,89.360001,90.879997,90.158463,7707300
2020-11-12,90.879997,91.889999,89.779999,89.820000,89.106888,7474600
2020-11-13,91.540001,93.809998,91.209999,93.220001,92.479889,9170900
2020-11-16,96.419998,102.440002,96.360001,99.269997,98.481850,18436200
2020-11-17,97.980003,98.089996,95.690002,95.709999,94.950119,10843700
2020-11-18,98.519997,98.800003,96.370003,96.930000,96.160431,8526600
2020-11-19,96.769997,96.860001,95.620003,96.610001,95.842972,5542800
2020-11-20,96.660004,97.199997,95.300003,95.330002,94.573143,5329800
2020-11-23,97.160004,98.930000,96.849998,98.129997,97.350899,8802400
2020-11-24,98.489998,98.589996,96.019997,96.639999,95.872734,7022800
2020-11-25,96.199997,97.989998,96.139999,97.489998,96.715981,5194900
2020-11-27,98.540001,99.269997,98.050003,98.739998,97.956062,4367100
2020-11-30,97.559998,97.949997,96.199997,97.019997,96.249710,13840500
2020-12-01,98.690002,104.300003,98.519997,100.860001,100.059235,16164700
2020-12-02,102.000000,102.040001,99.519997,99.540001,98.749710,8676300
2020-12-03,101.059998,101.190002,99.430000,99.500000,98.710030,7359000
2020-12-04,101.510002,103.750000,100.699997,103.730003,102.906448,10824500
2020-12-07,106.019997,107.610001,104.970001,106.389999,105.545326,11793000
2020-12-08,107.779999,107.839996,105.110001,105.639999,104.801277,9876200
2020-12-09,106.010002,106.599998,103.510002,104.419998,103.590958,8204100
2020-12-10,103.000000,105.110001,102.199997,104.230003,103.402481,7135000
2020-12-11,104.010002,105.120003,103.220001,104.029999,103.204056,7492600
2020-12-14,103.769997,104.900002,103.500000,103.559998,102.737785,5878000
2020-12-15,105.680000,106.379997,104.419998,105.089996,104.255646,7404000
2020-12-16,105.650002,105.669998,103.959999,105.199997,104.364769,5986900
2020-12-17,104.900002,105.320000,103.849998,103.900002,103.509995,7779300
2020-12-18,104.000000,104.800003,103.160004,104.279999,103.888565,7417000
2020-12-21,103.559998,104.959999,103.320000,104.830002,104.436508,6116400
2020-12-22,105.070000,105.220001,102.910004,103.940002,103.549850,5597100
2020-12-23,104.669998,104.870003,103.599998,103.760002,103.370522,3320800
2020-12-24,104.760002,106.339996,104.669998,105.970001,105.572227,3172100
2020-12-28,107.599998,108.169998,105.949997,106.150002,105.751549,5157000
2020-12-29,107.000000,107.150002,105.220001,105.559998,105.163757,4602400
2020-12-30,107.699997,109.699997,107.400002,108.900002,108.491226,9571800
2020-12-31,109.660004,109.669998,108.440002,109.040001,108.630699,4909500
2021-01-04,111.470001,114.099998,110.449997,111.699997,111.280716,11262100
2021-01-05,112.410004,114.949997,112.010002,112.769997,112.346695,10583600
2021-01-06,113.849998,116.389999,112.550003,115.610001,115.176041,10609300
2021-01-07,119.339996,122.940002,117.589996,121.430000,120.974190,13556100
2021-01-08,125.910004,126.290001,116.980003,118.690002,118.244484,18976800
2021-01-11,119.739998,123.599998,118.800003,122.599998,122.139801,12032700
2021-01-12,125.160004,125.199997,121.680000,123.000000,122.538300,14163200
2021-01-13,124.400002,124.800003,118.000000,119.230003,118.782455,20650500
2021-01-14,123.449997,134.649994,121.669998,126.449997,125.975349,37125400
2021-01-15,128.470001,128.539993,123.209999,125.230003,124.759933,17343100
2021-01-19,130.589996,134.050003,128.440002,131.300003,130.807144,20443800
2021-01-20,135.190002,136.130005,130.100006,130.639999,130.149628,17360700
2021-01-21,133.250000,135.399994,132.339996,134.160004,133.656418,15609900
2021-01-22,130.039993,131.250000,128.809998,129.139999,128.655258,19163200
2021-01-25,131.830002,132.169998,127.349998,130.520004,130.030075,20469300
2021-01-26,129.050003,129.320007,126.250000,126.650002,126.174599,17084600
2021-01-27,124.949997,125.099998,121.500000,121.739998,121.283028,16732700
2021-01-28,124.500000,127.580002,123.580002,125.830002,125.357681,14148100
2021-01-29,124.000000,124.360001,120.550003,121.519997,121.063850,15142700
2021-02-01,124.540001,126.849998,123.379997,126.660004,126.184563,10179900
2021-02-02,129.470001,130.250000,127.449997,128.440002,127.957886,9302400
2021-02-03,129.000000,129.139999,126.059998,127.500000,127.021408,9676600
2021-02-04,127.500000,128.199997,125.970001,128.149994,127.668961,7445100
2021-02-05,128.789993,128.880005,126.699997,127.779999,127.300354,6216800
2021-02-08,128.699997,133.250000,128.699997,132.550003,132.052460,11160000
2021-02-09,133.979996,134.410004,131.750000,132.679993,132.181961,7929100
2021-02-10,134.119995,136.000000,132.509995,133.690002,133.188171,12196300
2021-02-11,135.399994,139.229996,134.059998,139.160004,138.637650,12334900
2021-02-12,138.919998,139.809998,137.160004,138.059998,137.541763,11104700
2021-02-16,141.610001,142.199997,139.419998,140.050003,139.524307,11833600
2021-02-17,139.210007,139.639999,136.100006,136.270004,135.758499,12311200
2021-02-18,134.850006,135.880005,133.399994,134.630005,134.124649,11614600
2021-02-19,136.149994,137.949997,135.720001,136.660004,136.147034,10771900
2021-02-22,133.589996,135.279999,133.179993,133.570007,133.068634,10363800
2021-02-23,129.100006,131.740005,125.379997,129.100006,128.615402,18444700
2021-02-24,129.509995,132.380005,127.680000,132.300003,131.803391,12782900
2021-02-25,131.520004,131.539993,125.720001,126.000000,125.527039,13581200
2021-02-26,125.430000,127.389999,122.830002,125.940002,125.467270,17273300
2021-03-01,129.630005,130.300003,127.239998,129.130005,128.645294,9691100
2021-03-02,128.429993,128.520004,126.000000,126.000000,125.527039,8249300
2021-03-03,126.720001,127.760002,122.709999,122.889999,122.428711,10622300
2021-03-04,121.949997,123.150002,113.489998,115.589996,115.156113,24364000
2021-03-05,120.900002,121.300003,115.379997,120.800003,120.346558,17420100
2021-03-08,120.540001,121.000000,113.699997,113.930000,113.502342,17199900
2021-03-09,117.070000,118.400002,115.330002,116.379997,115.943146,17640800
2021-03-10,117.800003,118.029999,113.410004,113.830002,113.402725,15185300
2021-03-11,118.239998,120.800003,117.070000,120.580002,120.127388,15044000
2021-03-12,119.000000,119.000000,117.279999,118.300003,117.855942,8147600
2021-03-15,118.650002,119.110001,116.709999,119.080002,118.633018,8935000
2021-03-16,119.720001,121.250000,118.099998,119.349998,118.902000,10766500
2021-03-17,117.750000,119.519997,115.389999,118.760002,118.760002,9890400
2021-03-18,118.000000,118.330002,114.099998,114.500000,114.500000,10283800
2021-03-19,114.379997,114.889999,113.209999,113.629997,113.629997,11507300
2021-03-22,114.790001,118.330002,114.790001,117.180000,117.180000,9376400
2021-03-23,116.099998,116.750000,114.620003,114.889999,114.889999,8977400
2021-03-24,112.470001,114.690002,108.849998,108.959999,108.959999,24196100
2021-03-25,108.000000,112.750000,107.889999,110.449997,110.449997,16772400
2021-03-26,112.000000,116.699997,111.199997,116.559998,116.559998,12833600
